job_title,company,anomaly_score
Quality Engineer,"Harco Manufacturing Group, Llc",0.005062697
Quality Engineer,Straussgroup - Executive Search Consultants,0.0048970426
Quality Engineer,Confidential,0.0048843566
Engineering And Maintenance Manager,Addison Group,0.004449068
Maintenance Technician,Usalco,0.004279764
Process Engineer,White,0.0041781054
Cmp Manufacturing Engineer,Headway Technologies,0.0038395396
Sr. Process Engineer,Carlisle Construction Materials,0.003820315
Quality Engineer,"Ram Aviation, Space & Defense",0.0037454625
Process Engineer,Creation Technologies,0.0036743134
Manufacturing Quality Engineer,Kratos Defense And Security Solutions,0.0035699615
Senior Manufacturing Engineer,Revology Cars Llc,0.0035209835
Field Services Engineer,Delta Staffing,0.0035190452
Maintenance Technician,Pregis,0.0035058593
Quality Assurance/Inventory Technician,Energy Jobline,0.0034860193
Supplier Quality Engineer,Te Connectivity,0.003442119
Quality Engineer,Epitec,0.0033052817
Manufacturing Engineer,Oil And Gas Job Search Ltd,0.003199771
Quality Assurance Engineer,Ebs Recruiters,0.0031514682
Maintenance Tech Ii - $33 Per Hour,The Coca-Cola Company,0.0031510985
