skill,growth_score,recent_avg,older_avg,total_frequency,trend
Docker,2.625,3.5,1.33,23,emerging
GCP,2.5,2.5,1.0,12,emerging
AWS,2.333,2.33,1.0,21,emerging
CI/CD,2.0,2.0,1.0,13,emerging
Git,2.0,2.0,1.0,13,emerging
FastAPI,2.0,2.0,1.0,6,emerging
PostgreSQL,2.0,2.0,1.0,6,emerging
NumPy,2.0,2.0,1.0,6,emerging
Kubernetes,1.667,2.5,1.5,16,emerging
Optimization,1.5,1.5,1.0,6,emerging
PyTorch,1.5,1.5,1.0,12,emerging
TensorFlow,1.5,1.5,1.0,12,emerging
Python,1.5,3.0,2.0,31,emerging
DVC,1.0,0.0,0.0,1,stable
Airflow,1.0,1.0,1.0,9,stable
Azure,1.0,1.0,1.0,4,stable
Ansible,1.0,1.0,0.0,3,stable
Communication,1.0,1.0,1.0,5,stable
Bash,1.0,1.0,0.0,2,stable
BigQuery,1.0,1.0,1.0,5,stable
CNN,1.0,1.0,0.0,2,stable
Grafana,1.0,1.0,0.0,5,stable
GraphQL,1.0,0.0,0.0,1,stable
Computer Vision,1.0,1.0,0.0,5,stable
Data Lake,1.0,0.0,0.0,1,stable
Data Warehouse,1.0,1.0,0.0,2,stable
Deep Learning,1.0,1.0,1.0,8,stable
Data Visualization,1.0,0.0,0.0,1,stable
Data Modeling,1.0,0.0,0.0,3,stable
DynamoDB,1.0,1.0,0.0,1,stable
ETL,1.0,1.0,0.0,5,stable
Elasticsearch,1.0,0.0,0.0,1,stable
ETL Pipeline,1.0,1.0,0.0,3,stable
Flask,1.0,0.0,0.0,1,stable
Fine-tuning,1.0,1.0,1.0,4,stable
Django,1.0,0.0,0.0,2,stable
Data Pipeline,1.0,0.0,0.0,1,stable
Hypothesis Testing,1.0,1.0,0.0,3,stable
Image Classification,1.0,1.0,0.0,2,stable
GPT,1.0,1.0,1.0,5,stable
GAN,1.0,0.0,0.0,1,stable
Generative AI,1.0,1.0,0.0,3,stable
GitHub,1.0,1.0,0.0,7,stable
GitHub Actions,1.0,1.0,0.0,7,stable
Google Cloud,1.0,1.0,0.0,1,stable
Jenkins,1.0,1.0,0.0,4,stable
ChromaDB,1.0,0.0,0.0,1,stable
Classification,1.0,1.0,1.0,8,stable
Clustering,1.0,1.0,0.0,2,stable
BERT,1.0,1.0,1.0,5,stable
A/B Testing,1.0,1.0,0.0,4,stable
Agile,1.0,1.0,1.0,8,stable
API Development,1.0,0.0,0.0,1,stable
XGBoost,1.0,0.0,0.0,2,stable
dbt,1.0,1.0,0.0,3,stable
Vector Database,1.0,0.0,0.0,1,stable
Vertex AI,1.0,2.0,0.0,3,stable
Terraform,1.0,1.5,0.0,6,stable
Hadoop,1.0,0.0,0.0,1,stable
Hugging Face,1.0,1.0,1.0,4,stable
LangChain,1.0,1.0,1.0,3,stable
Model Deployment,1.0,1.0,0.0,3,stable
MLflow,1.0,1.0,1.0,7,stable
Machine Learning,1.0,1.0,1.0,6,stable
Matplotlib,1.0,0.0,0.0,3,stable
Model Training,1.0,0.0,0.0,1,stable
Kafka,1.0,1.0,1.0,6,stable
Kubeflow,1.0,1.5,0.0,3,stable
LLM,1.0,1.0,1.0,5,stable
Probability,1.0,1.0,1.0,2,stable
Problem Solving,1.0,1.0,1.0,5,stable
Model Serving,1.0,1.0,1.0,2,stable
NER,1.0,0.0,0.0,1,stable
Plotly,1.0,0.0,0.0,1,stable
Power BI,1.0,1.0,0.0,4,stable
Named Entity Recognition,1.0,1.0,1.0,2,stable
Object Detection,1.0,1.0,0.0,3,stable
Project Management,1.0,0.0,0.0,1,stable
Redis,1.0,0.0,0.0,2,stable
RAG,1.0,1.0,1.0,4,stable
PySpark,1.0,1.0,0.0,2,stable
Prompt Engineering,1.0,1.0,0.0,1,stable
LightGBM,1.0,0.0,0.0,2,stable
Linear Algebra,1.0,1.0,1.0,3,stable
Linux,1.0,1.5,0.0,9,stable
Seaborn,1.0,0.0,0.0,2,stable
Retrieval Augmented Generation,1.0,0.0,0.0,1,stable
SQL,1.0,1.0,1.0,13,stable
SageMaker,1.0,1.0,0.0,5,stable
Snowflake,1.0,1.0,1.0,4,stable
Tableau,1.0,1.0,1.0,6,stable
Transformers,1.0,1.0,1.0,6,stable
Text Classification,1.0,1.0,1.0,5,stable
Shell,1.0,1.0,0.0,2,stable
Spark,1.0,1.0,1.0,8,stable
Reinforcement Learning,1.0,1.0,0.0,1,stable
Pandas,0.75,1.5,2.0,8,declining
NLP,0.5,1.0,2.0,9,declining
Agentic AI,0.0,0.0,1.0,2,rapidly_declining
FAISS,0.0,0.0,1.0,2,rapidly_declining
Bayesian,0.0,0.0,1.0,1,rapidly_declining
Java,0.0,0.0,1.0,2,rapidly_declining
Feature Engineering,0.0,0.0,1.0,4,rapidly_declining
Pinecone,0.0,0.0,1.0,2,rapidly_declining
MySQL,0.0,0.0,1.0,1,rapidly_declining
LangGraph,0.0,0.0,1.0,2,rapidly_declining
Microservices,0.0,0.0,1.0,2,rapidly_declining
MongoDB,0.0,0.0,1.0,3,rapidly_declining
Natural Language Processing,0.0,0.0,1.0,1,rapidly_declining
Sentiment Analysis,0.0,0.0,1.0,3,rapidly_declining
Scrum,0.0,0.0,1.0,1,rapidly_declining
Regression,0.0,0.0,1.0,3,rapidly_declining
REST API,0.0,0.0,1.0,2,rapidly_declining
Statistics,0.0,0.0,1.0,4,rapidly_declining
Speech Recognition,0.0,0.0,1.0,1,rapidly_declining
Weaviate,0.0,0.0,1.0,1,rapidly_declining
scikit-learn,0.0,0.0,1.0,6,rapidly_declining
